,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move_Pos
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,4
2,1,0,0,0,2,0,0,0,0,6
3,1,0,0,0,2,0,1,0,0,3
4,1,0,0,2,2,0,1,0,0,5
5,1,0,0,2,2,1,1,0,0,1
6,1,2,0,2,2,1,1,0,0,7
7,1,2,0,2,2,1,1,1,0,8
8,1,2,0,2,2,1,1,1,2,2
9,0,0,0,0,0,0,0,0,0,2
10,0,0,1,0,0,0,0,0,0,0
11,2,0,1,0,0,0,0,0,0,4
12,2,0,1,0,1,0,0,0,0,6
13,2,0,1,0,1,0,2,0,0,3
14,2,0,1,1,1,0,2,0,0,5
15,2,0,1,1,1,2,2,0,0,1
16,2,1,1,1,1,2,2,0,0,7
17,2,1,1,1,1,2,2,2,0,8
18,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,4
20,1,0,0,0,2,0,0,0,0,2
21,1,0,1,0,2,0,0,0,0,1
22,1,2,1,0,2,0,0,0,0,7
23,1,2,1,0,2,0,0,1,0,3
24,1,2,1,2,2,0,0,1,0,5
25,1,2,1,2,2,1,0,1,0,8
26,1,2,1,2,2,1,0,1,2,6
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,2
30,1,0,1,0,2,0,0,0,0,1
31,1,2,1,0,2,0,0,0,0,7
32,1,2,1,0,2,0,0,1,0,5
33,1,2,1,0,2,2,0,1,0,3
34,1,2,1,1,2,2,0,1,0,6
35,1,2,1,1,2,2,2,1,0,8
36,0,0,0,0,0,0,0,0,0,1
37,0,1,0,0,0,0,0,0,0,4
38,0,1,0,0,2,0,0,0,0,3
39,0,1,0,1,2,0,0,0,0,0
40,2,1,0,1,2,0,0,0,0,8
41,2,1,0,1,2,0,0,0,1,6
42,2,1,0,1,2,0,2,0,1,2
43,2,1,1,1,2,0,2,0,1,5
44,2,1,1,1,2,2,2,0,1,7
45,0,0,0,0,0,0,0,0,0,6
46,0,0,0,0,0,0,1,0,0,4
47,0,0,0,0,2,0,1,0,0,0
48,1,0,0,0,2,0,1,0,0,3
49,1,0,0,2,2,0,1,0,0,5
50,1,0,0,2,2,1,1,0,0,1
51,1,2,0,2,2,1,1,0,0,7
52,1,2,0,2,2,1,1,1,0,8
53,1,2,0,2,2,1,1,1,2,2
54,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,4
56,1,0,0,0,2,0,0,0,0,2
57,1,0,1,0,2,0,0,0,0,1
58,1,2,1,0,2,0,0,0,0,5
59,1,2,1,0,2,1,0,0,0,7
60,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,4
62,1,0,0,0,2,0,0,0,0,2
63,1,0,1,0,2,0,0,0,0,1
64,1,2,1,0,2,0,0,0,0,7
65,1,2,1,0,2,0,0,1,0,3
66,1,2,1,2,2,0,0,1,0,5
67,1,2,1,2,2,1,0,1,0,8
68,1,2,1,2,2,1,0,1,2,6
69,0,0,0,0,0,0,0,0,0,4
70,0,0,0,0,1,0,0,0,0,0
71,2,0,0,0,1,0,0,0,0,1
72,2,1,0,0,1,0,0,0,0,7
73,2,1,0,0,1,0,0,2,0,6
74,2,1,0,0,1,0,1,2,0,2
75,2,1,2,0,1,0,1,2,0,5
76,2,1,2,0,1,1,1,2,0,3
77,2,1,2,2,1,1,1,2,0,8
78,0,0,0,0,0,0,0,0,0,4
79,0,0,0,0,1,0,0,0,0,0
80,2,0,0,0,1,0,0,0,0,2
81,2,0,1,0,1,0,0,0,0,6
82,2,0,1,0,1,0,2,0,0,3
83,2,0,1,1,1,0,2,0,0,5
84,2,0,1,1,1,2,2,0,0,7
85,2,0,1,1,1,2,2,1,0,1
86,2,2,1,1,1,2,2,1,0,8
87,0,0,0,0,0,0,0,0,0,0
88,1,0,0,0,0,0,0,0,0,4
89,1,0,0,0,2,0,0,0,0,2
90,1,0,1,0,2,0,0,0,0,1
91,1,2,1,0,2,0,0,0,0,3
92,1,2,1,1,2,0,0,0,0,6
93,1,2,1,1,2,0,2,0,0,7
94,1,2,1,1,2,0,2,1,0,5
95,1,2,1,1,2,2,2,1,0,8
96,0,0,0,0,0,0,0,0,0,1
97,0,1,0,0,0,0,0,0,0,4
98,0,1,0,0,2,0,0,0,0,2
99,0,1,1,0,2,0,0,0,0,0
100,2,1,1,0,2,0,0,0,0,8
101,2,1,1,0,2,0,0,0,1,3
102,2,1,1,2,2,0,0,0,1,5
103,0,0,0,0,0,0,0,0,0,6
104,0,0,0,0,0,0,1,0,0,4
105,0,0,0,0,2,0,1,0,0,0
106,1,0,0,0,2,0,1,0,0,3
107,1,0,0,2,2,0,1,0,0,1
108,1,1,0,2,2,0,1,0,0,2
109,1,1,2,2,2,0,1,0,0,5
110,1,1,2,2,2,1,1,0,0,7
111,1,1,2,2,2,1,1,2,0,8
112,0,0,0,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0,0,0,4
114,1,0,0,0,2,0,0,0,0,1
115,1,1,0,0,2,0,0,0,0,2
116,1,1,2,0,2,0,0,0,0,6
117,1,1,2,0,2,0,1,0,0,3
118,1,1,2,2,2,0,1,0,0,5
119,1,1,2,2,2,1,1,0,0,7
120,1,1,2,2,2,1,1,2,0,8
121,0,0,0,0,0,0,0,0,0,1
122,0,1,0,0,0,0,0,0,0,4
123,0,1,0,0,2,0,0,0,0,6
124,0,1,0,0,2,0,1,0,0,0
125,2,1,0,0,2,0,1,0,0,8
126,2,1,0,0,2,0,1,0,1,5
127,2,1,0,0,2,2,1,0,1,3
128,2,1,0,1,2,2,1,0,1,7
129,2,1,0,1,2,2,1,2,1,2
130,0,0,0,0,0,0,0,0,0,2
131,0,0,1,0,0,0,0,0,0,4
132,0,0,1,0,2,0,0,0,0,0
133,1,0,1,0,2,0,0,0,0,1
134,1,2,1,0,2,0,0,0,0,7
135,1,2,1,0,2,0,0,1,0,3
136,1,2,1,2,2,0,0,1,0,5
137,1,2,1,2,2,1,0,1,0,8
138,1,2,1,2,2,1,0,1,2,6
139,0,0,0,0,0,0,0,0,0,8
140,0,0,0,0,0,0,0,0,1,0
141,2,0,0,0,0,0,0,0,1,6
142,2,0,0,0,0,0,1,0,1,2
143,2,0,2,0,0,0,1,0,1,1
144,2,1,2,0,0,0,1,0,1,7
145,2,1,2,0,0,0,1,2,1,3
146,2,1,2,1,0,0,1,2,1,4
147,2,1,2,1,2,0,1,2,1,5
148,0,0,0,0,0,0,0,0,0,4
149,0,0,0,0,1,0,0,0,0,0
150,2,0,0,0,1,0,0,0,0,5
151,2,0,0,0,1,1,0,0,0,2
152,2,0,2,0,1,1,0,0,0,1
153,2,1,2,0,1,1,0,0,0,3
154,2,1,2,2,1,1,0,0,0,6
155,2,1,2,2,1,1,1,0,0,7
156,2,1,2,2,1,1,1,2,0,8
157,0,0,0,0,0,0,0,0,0,4
158,0,0,0,0,1,0,0,0,0,0
159,2,0,0,0,1,0,0,0,0,6
160,2,0,0,0,1,0,1,0,0,2
161,2,0,2,0,1,0,1,0,0,1
162,2,1,2,0,1,0,1,0,0,7
163,2,1,2,0,1,0,1,2,0,3
164,2,1,2,1,1,0,1,2,0,5
165,2,1,2,1,1,2,1,2,0,8
166,0,0,0,0,0,0,0,0,0,4
167,0,0,0,0,1,0,0,0,0,0
168,2,0,0,0,1,0,0,0,0,3
169,2,0,0,1,1,0,0,0,0,1
170,2,2,0,1,1,0,0,0,0,2
171,2,2,1,1,1,0,0,0,0,5
172,2,2,1,1,1,2,0,0,0,6
173,0,0,0,0,0,0,0,0,0,4
174,0,0,0,0,1,0,0,0,0,0
175,2,0,0,0,1,0,0,0,0,1
176,2,1,0,0,1,0,0,0,0,7
177,2,1,0,0,1,0,0,2,0,6
178,2,1,0,0,1,0,1,2,0,2
179,2,1,2,0,1,0,1,2,0,3
180,2,1,2,1,1,0,1,2,0,5
181,2,1,2,1,1,2,1,2,0,8
182,0,0,0,0,0,0,0,0,0,3
183,0,0,0,1,0,0,0,0,0,4
184,0,0,0,1,2,0,0,0,0,2
185,0,0,1,1,2,0,0,0,0,0
186,2,0,1,1,2,0,0,0,0,8
187,2,0,1,1,2,0,0,0,1,7
188,2,0,1,1,2,0,0,2,1,1
189,2,1,1,1,2,0,0,2,1,5
190,2,1,1,1,2,2,0,2,1,6
191,0,0,0,0,0,0,0,0,0,4
192,0,0,0,0,1,0,0,0,0,0
193,2,0,0,0,1,0,0,0,0,3
194,2,0,0,1,1,0,0,0,0,5
195,2,0,0,1,1,2,0,0,0,1
196,2,1,0,1,1,2,0,0,0,7
197,2,1,0,1,1,2,0,2,0,2
198,2,1,1,1,1,2,0,2,0,6
199,2,1,1,1,1,2,2,2,0,8
200,0,0,0,0,0,0,0,0,0,7
201,0,0,0,0,0,0,0,1,0,0
202,2,0,0,0,0,0,0,1,0,2
203,2,0,1,0,0,0,0,1,0,4
204,2,0,1,0,2,0,0,1,0,8
205,2,0,1,0,2,0,0,1,1,3
206,2,0,1,2,2,0,0,1,1,5
207,0,0,0,0,0,0,0,0,0,1
208,0,1,0,0,0,0,0,0,0,4
209,0,1,0,0,2,0,0,0,0,0
210,1,1,0,0,2,0,0,0,0,2
211,1,1,2,0,2,0,0,0,0,6
212,1,1,2,0,2,0,1,0,0,3
213,1,1,2,2,2,0,1,0,0,5
214,1,1,2,2,2,1,1,0,0,8
215,1,1,2,2,2,1,1,0,2,7
216,0,0,0,0,0,0,0,0,0,4
217,0,0,0,0,1,0,0,0,0,0
218,2,0,0,0,1,0,0,0,0,3
219,2,0,0,1,1,0,0,0,0,5
220,2,0,0,1,1,2,0,0,0,2
221,2,0,1,1,1,2,0,0,0,6
222,2,0,1,1,1,2,2,0,0,1
223,2,1,1,1,1,2,2,0,0,7
224,2,1,1,1,1,2,2,2,0,8
225,0,0,0,0,0,0,0,0,0,1
226,0,1,0,0,0,0,0,0,0,4
227,0,1,0,0,2,0,0,0,0,0
228,1,1,0,0,2,0,0,0,0,2
229,1,1,2,0,2,0,0,0,0,6
230,1,1,2,0,2,0,1,0,0,3
231,1,1,2,2,2,0,1,0,0,5
232,1,1,2,2,2,1,1,0,0,7
233,1,1,2,2,2,1,1,2,0,8
234,0,0,0,0,0,0,0,0,0,2
235,0,0,1,0,0,0,0,0,0,4
236,0,0,1,0,2,0,0,0,0,0
237,1,0,1,0,2,0,0,0,0,1
238,1,2,1,0,2,0,0,0,0,7
239,1,2,1,0,2,0,0,1,0,3
240,1,2,1,2,2,0,0,1,0,5
241,1,2,1,2,2,1,0,1,0,8
242,1,2,1,2,2,1,0,1,2,6
243,0,0,0,0,0,0,0,0,0,4
244,0,0,0,0,1,0,0,0,0,0
245,2,0,0,0,1,0,0,0,0,1
246,2,1,0,0,1,0,0,0,0,7
247,2,1,0,0,1,0,0,2,0,6
248,2,1,0,0,1,0,1,2,0,2
249,2,1,2,0,1,0,1,2,0,5
250,2,1,2,0,1,1,1,2,0,3
251,2,1,2,2,1,1,1,2,0,8
252,0,0,0,0,0,0,0,0,0,0
253,1,0,0,0,0,0,0,0,0,4
254,1,0,0,0,2,0,0,0,0,3
255,1,0,0,1,2,0,0,0,0,6
256,1,0,0,1,2,0,2,0,0,2
257,1,0,1,1,2,0,2,0,0,1
